timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1532535748699,513,Preview,200,OK,QA Previewing Test 3-1,text,true,,2978,0,1,4,508,0,0
1532535748699,550,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-1,text,true,,758,0,1,4,549,0,0
1532535749224,86,Preview,200,OK,QA Previewing Test 3-1,text,true,,9440,0,1,6,85,0,0
1532535749249,137,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-1,text,true,,759,0,2,6,137,0,0
1532535749259,167,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-2,text,true,,768,0,2,6,167,0,0
1532535749313,113,Preview,200,OK,QA Previewing Test 3-1,text,true,,32749,0,1,6,108,0,0
1532535749427,64,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-2,text,true,,775,0,2,6,64,0,0
1532535749429,90,Preview,200,OK,QA Previewing Test 3-1,text,true,,30459,0,1,6,84,0,0
1532535749492,59,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-2,text,true,,767,0,2,6,59,0,0
1532535749387,188,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-1,text,true,,771,0,2,6,188,0,0
1532535749553,57,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-2,text,true,,773,0,2,6,57,0,0
1532535749575,58,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-1,text,true,,769,0,2,6,58,0,0
1532535749528,119,Preview,200,OK,QA Previewing Test 3-1,text,true,,39088,0,1,6,115,0,0
1532535749610,64,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-2,text,true,,759,0,2,6,64,0,0
1532535749635,53,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-1,text,true,,761,0,2,6,53,0,0
1532535749675,42,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-2,text,true,,765,0,2,6,42,0,0
1532535749689,56,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-1,text,true,,759,0,2,6,56,0,0
1532535749718,53,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-2,text,true,,763,0,2,6,53,0,0
1532535749650,137,Preview,200,OK,QA Previewing Test 3-1,text,true,,9645,0,1,6,135,0,0
1532535749746,46,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-1,text,true,,763,0,2,6,46,0,0
1532535749773,64,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-2,text,true,,761,0,2,6,64,0,0
1532535749795,51,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-1,text,true,,757,0,2,6,51,0,0
